,model_0,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11,model_12,model_13,model_14,model_15,model_16,model_17,model_18,model_19
0,3.34589457847948,3.5823746491667325,3.667935744921116,3.3891288116998037,3.495283743776887,3.3763445827097778,3.315472976901599,3.704888341615764,3.3017682258667436,3.6521970328832527,3.4559145526424015,3.3618457047608086,3.302427685338226,3.3760217226041775,3.466208776242972,3.382052372840554,3.346759244854071,3.3101911673465287,3.384683663961418,3.133502974799444
1,5.351170481962468,5.07213591745737,5.2162015374714406,5.280974736335052,5.395100486910724,4.910856124782526,5.318072938945792,5.174594672295898,5.068721586941589,4.989359631852972,5.048954334549418,5.252335160061657,5.169969082630269,5.03800341541866,4.678224567695187,5.226829153861912,5.221006005054184,4.901062775234042,4.9001041799071015,5.154940912067644
2,7.804251597304923,7.9532002377568025,7.802905391706966,7.959953566288398,7.902839110270608,8.396731216605133,8.07893973647819,7.813021208239584,7.7310356589325195,8.084975000238106,7.991191492424612,7.652589304685909,8.145435976399094,8.020629122720061,8.002188080107372,8.012640160736765,8.17256607413719,7.718374642657988,7.743813885957859,7.949870299019346
3,8.005753561766289,8.130626235171865,8.24860401951146,8.286251661326139,8.059373618688209,7.895703555787469,7.988719539012513,7.881579853919831,7.882001475549494,8.150005613807993,8.33088382100934,8.230798645699114,8.187617718082409,7.926981094696764,8.125257560600396,7.988637551541752,8.044520570874445,7.487494686085535,7.969690222647498,8.129748104481648
4,8.561175287247082,8.461320896075135,8.476485350299686,8.992718677681193,8.435051230492851,8.747407195457603,8.650362221073554,8.760844962774225,8.634825600157846,8.81826047466469,8.644997551878696,8.563227526696876,8.738261634322448,8.702120211834593,8.443293707172266,8.655901391185921,8.705741417503345,8.71058403434014,8.06697865852737,8.69625965594371
5,3.5412318713071955,3.5878361715952583,3.5441627561462203,3.647710965900536,3.198745622583653,3.8620464390656064,3.922043590146835,3.3593309319430875,3.1369190269091,3.472361193877326,3.579914022306756,3.3134472442072456,3.478614017988594,3.657662726573588,3.5331521720890064,3.531179074012174,3.4687907322222893,3.6578788382155967,3.497550115672078,3.9753105662891275
6,5.87211387981329,6.14929700406299,6.092070230121236,5.644650541580333,6.1541984927072875,6.09783458791372,6.120926239975379,6.231057943937052,5.895609914264838,5.963828769851197,5.957522897849428,6.384741557673177,6.090437444994503,6.266725962493332,6.18457080905713,5.837432822924944,5.976624324793525,5.980316006114121,6.125347008944699,6.258440584045931
7,7.154935298225134,7.252982538590922,6.911667142649861,6.92561736381599,7.4014819116300785,7.363777140578008,6.884114944950615,7.234042153387955,7.433636534101872,7.286040738952481,7.149996437335918,7.3598801959138775,7.311326115386226,6.9418463705886335,6.87297533663058,6.694971841978342,7.060756178322755,7.430137936118442,7.281958163658733,7.13989460083404
8,6.339360603874028,6.450843790136844,7.0189521622551005,6.400447644383247,6.525535276925186,6.589431279000743,6.500396329057935,6.392418749314656,6.780556678993647,6.210866167522756,6.635624767445065,6.320111791696074,6.730379473387517,6.212016345986802,6.356863078624914,6.252298007055402,6.586813360508536,6.85450419820644,6.723206640723468,6.632121291319676
9,7.237680588450529,6.813442041140235,7.328407972871896,6.707900893731554,6.995316753509616,6.913271735988609,6.930441529560088,7.028967765080622,7.047761762382075,7.402151063320102,6.620909475103561,6.9231710395538855,7.107603190138185,7.032328109951452,6.937616268891379,6.723379144818724,7.014540156812784,7.245172074851341,6.948443874494236,7.1441202100021
