,model_0,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11,model_12,model_13,model_14,model_15,model_16,model_17,model_18,model_19
0,5.915546786473325,5.816522782311649,5.950237501732387,5.573080053908708,5.952300015238265,5.813395196378094,5.333488740923807,5.824323707120724,5.85532565527777,5.7187790276787975,5.444593387267286,5.750529722625815,5.543410165016922,5.605536936671407,5.2325123012755705,5.776546756620567,5.815207284539623,5.896880913854542,5.667391473700103,5.870176655948741
1,5.785366991752621,5.718301653024291,5.702732655574884,6.004003824362596,5.790043462406798,6.483223388191801,5.9415501386538505,5.87483559357418,5.5283858553477305,5.910423604678967,5.670846713751232,5.877874412274123,5.593174782075757,5.6062255538361025,6.160202342328361,5.655327788018742,5.867982782965836,5.651775538344119,5.855578393668239,6.00092809548661
2,5.686547929094717,5.716073917492764,6.072524656337922,5.590731592534699,6.220107626892162,5.691385076492441,6.126434249513826,5.283265753369389,5.90512985748696,5.867093505769411,5.894488458527238,5.849124998533799,6.134020095196743,5.796745543035295,5.877996613458718,5.598976707673999,5.919827621655163,6.125292539954626,5.356173645501231,6.04372018078757
3,5.486629008918715,6.092502720657458,5.444588774663103,5.643571904278639,5.626748818145623,5.681306542134598,5.600889393910463,5.780858242056498,5.587231533830472,5.434836909565323,5.534209944311373,5.721314033449916,5.414531201098628,5.433043154184077,5.728360716858321,5.4697856188900875,5.4282464404075075,5.50850812085821,5.425556142111757,5.621190849602126
4,6.109107630464198,6.4785722140339095,6.04877653121183,6.318286729995067,6.5168527195120145,6.486311158672049,6.553003220266046,6.223093277509153,6.691600073157213,6.126475680966055,6.3421735223286095,6.614787335318411,6.3330497716300105,6.1335826983178015,6.318075583235615,6.452053243716314,5.997186629124579,6.567261335621155,6.1204591318918915,5.981185763025488
5,6.431094177558112,6.333377053935157,5.93777231708249,6.033457200848348,6.173250168790819,6.16789696872868,6.174102385837536,6.114190291047378,6.240887700526107,6.174662154936601,6.127510624187635,6.346032304227501,6.481624948709582,6.121026863741323,6.387014589583172,6.220376893678457,6.063570240381605,6.188036073581223,6.257795514093628,5.966037490923264
6,3.0943831008357323,3.4051460126878013,3.1168624244432337,3.3815756222464604,3.517525811515096,3.2965638579282674,3.2656623288071414,3.255951942667756,3.4733451921118172,3.0976747157202555,3.3390469151540687,3.400498953595566,3.0157715434753998,3.2638514011860966,3.264466822942307,3.290525537440234,3.5800849112732465,3.5423350834742404,3.403419673845004,3.2602169894408344
7,3.333945006836939,3.282277167031763,2.9114403311878547,2.8884589896726727,2.790121292019457,3.1351646065836283,3.1986693236751864,3.1468429890061005,2.888629828646323,3.1926950122595676,3.1445582920058923,2.9575507100171614,3.181262150870558,3.4238895097888853,3.6261436732241963,2.89926789076429,3.1470720269933614,2.9746905318721226,3.016426301641736,3.3506328195847814
8,3.4904673143686313,3.4563976058799275,3.5378518685942995,3.7987740247971353,3.5401647719062224,3.7910651246270515,3.1399573840275465,3.9073269848115744,3.517425404463388,3.792586289352915,3.783865967160742,3.6316278153266843,3.3908303224060075,3.464005404373389,3.538906294112722,3.56502043367707,3.431774901201112,3.8864510970021273,3.9100374704345375,3.4568299548528767
9,6.631466250711901,6.570949660093678,6.536676223625479,6.552719084596214,6.916369606138098,7.143459209345835,6.693049170131607,6.552744172977921,6.8325255032011025,6.741151758480246,7.032506108406331,6.555120815329376,6.494608360809136,7.050902600488037,6.4996421260965676,6.773950239505872,6.960723665516808,6.1496336964343286,6.448489559686507,6.887477666540299
